CustomerKey,FullName,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.JON YANG,MR.,JON,YANG,04-08-66,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11001,MR.EUGENE HUANG,MR.,EUGENE,HUANG,5/14/1965,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
11002,MR.RUBEN TORRES,MR.,RUBEN,TORRES,08-12-65,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11003,MS.CHRISTY ZHU,MS.,CHRISTY,ZHU,2/15/1968,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11004,MRS.ELIZABETH JOHNSON,MRS.,ELIZABETH,JOHNSON,08-08-68,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11005,MR.JULIO RUIZ,MR.,JULIO,RUIZ,08-05-65,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11007,MR.MARCO MEHTA,MR.,MARCO,MEHTA,05-09-64,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11008,MRS.ROBIN VERHOFF,MRS.,ROBIN,VERHOFF,07-07-64,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11009,MR.SHANNON CARLSON,MR.,SHANNON,CARLSON,04-01-64,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11010,MS.JACQUELYN SUAREZ,MS.,JACQUELYN,SUAREZ,02-06-64,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11011,MR.CURTIS LU,MR.,CURTIS,LU,11-04-63,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11012,MRS.LAUREN WALKER,MRS.,LAUREN,WALKER,1/18/1968,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11013,MR.IAN JENKINS,MR.,IAN,JENKINS,08-06-68,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11014,MRS.SYDNEY BENNETT,MRS.,SYDNEY,BENNETT,05-09-68,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N
11015,MS.CHLOE YOUNG,MS.,CHLOE,YOUNG,2/27/1979,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N
11016,MR.WYATT HILL,MR.,WYATT,HILL,4/28/1979,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11017,MRS.SHANNON WANG,MRS.,SHANNON,WANG,6/26/1944,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11018,MR.CLARENCE RAI,MR.,CLARENCE,RAI,10-09-44,S,M,clarence32@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11019,MR.LUKE LAL,MR.,LUKE,LAL,03-07-78,S,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11020,MR.JORDAN KING,MR.,JORDAN,KING,9/20/1978,S,M,jordan73@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11021,MS.DESTINY WILSON,MS.,DESTINY,WILSON,09-03-78,S,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11022,MR.ETHAN ZHANG,MR.,ETHAN,ZHANG,10-12-78,M,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11023,MR.SETH EDWARDS,MR.,SETH,EDWARDS,10-11-78,M,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11024,MR.RUSSELL XIE,MR.,RUSSELL,XIE,9/17/1978,M,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11025,ALEJANDRO BECK,,ALEJANDRO,BECK,12/23/1945,M,NA,alejandro45@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11026,MR.HAROLD SAI,MR.,HAROLD,SAI,04-03-46,S,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11027,MR.JESSIE ZHAO,MR.,JESSIE,ZHAO,12-07-46,M,M,jessie16@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11028,MRS.JILL JIMENEZ,MRS.,JILL,JIMENEZ,04-11-46,M,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11029,MR.JIMMY MORENO,MR.,JIMMY,MORENO,12/21/1946,M,M,jimmy9@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11030,MRS.BETHANY YUAN,MRS.,BETHANY,YUAN,2/22/1947,M,F,bethany10@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11031,MRS.THERESA RAMOS,MRS.,THERESA,RAMOS,8/22/1947,M,F,theresa13@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11032,MRS.DENISE STONE,MRS.,DENISE,STONE,06-11-47,M,F,denise10@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11033,MR.JAIME NATH,MR.,JAIME,NATH,9/23/1947,M,M,jaime41@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11034,MRS.EBONY GONZALEZ,MRS.,EBONY,GONZALEZ,6/19/1947,M,F,ebony19@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11035,WENDY DOMINGUEZ,,WENDY,DOMINGUEZ,2/24/1948,M,NA,wendy12@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11036,MS.JENNIFER RUSSELL,MS.,JENNIFER,RUSSELL,12/18/1978,M,F,jennifer93@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11037,MS.CHLOE GARCIA,MS.,CHLOE,GARCIA,11/27/1977,S,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N
11038,MRS.DIANA HERNANDEZ,MRS.,DIANA,HERNANDEZ,3/23/1948,M,F,diana2@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11039,MR.MARC MARTIN,MR.,MARC,MARTIN,12/17/1948,M,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y
11040,MR.JESSE MURPHY,MR.,JESSE,MURPHY,08-01-77,M,M,jesse15@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11041,MS.AMANDA CARTER,MS.,AMANDA,CARTER,10/16/1977,M,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11042,MS.MEGAN SANCHEZ,MS.,MEGAN,SANCHEZ,6/13/1977,M,F,megan28@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y
11043,MR.NATHAN SIMMONS,MR.,NATHAN,SIMMONS,2/24/1976,M,M,nathan11@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11044,MR.ADAM FLORES,MR.,ADAM,FLORES,5/24/1949,M,M,adam10@adventure-works.com,"$20,000 ",2,Partial High School,Clerical,Y
11045,MR.LEONARD NARA,MR.,LEONARD,NARA,5/19/1950,S,M,leonard18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11046,MRS.CHRISTINE YUAN,MRS.,CHRISTINE,YUAN,3/22/1950,M,F,christine4@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11047,MRS.JACLYN LU,MRS.,JACLYN,LU,2/27/1950,M,F,jaclyn12@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11048,MR.JEREMY POWELL,MR.,JEREMY,POWELL,11/22/1950,M,M,jeremy26@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11049,MS.CAROL RAI,MS.,CAROL,RAI,7/18/1980,S,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y
11050,MR.ALAN ZHENG,MR.,ALAN,ZHENG,09-07-51,M,M,alan23@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11051,MR.DANIEL JOHNSON,MR.,DANIEL,JOHNSON,08-04-51,S,M,daniel18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11052,MRS.HEIDI LOPEZ,MRS.,HEIDI,LOPEZ,08-07-51,S,F,heidi19@adventure-works.com,"$40,000 ",2,Partial College,Clerical,N
11053,MS.ANA PRICE,MS.,ANA,PRICE,8/20/1980,M,F,ana0@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11054,MRS.DEANNA MUNOZ,MRS.,DEANNA,MUNOZ,03-10-52,M,F,deanna33@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11055,MR.GILBERT RAJE,MR.,GILBERT,RAJE,03-05-52,M,M,gilbert35@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11056,MRS.MICHELE NATH,MRS.,MICHELE,NATH,04-03-53,M,F,michele19@adventure-works.com,"$40,000 ",3,Partial College,Skilled Manual,Y
11057,MR.CARL ANDERSEN,MR.,CARL,ANDERSEN,10-12-53,M,M,carl12@adventure-works.com,"$70,000 ",2,Graduate Degree,Management,Y
11058,MR.MARC DIAZ,MR.,MARC,DIAZ,4/27/1954,M,M,marc6@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11059,MRS.ASHLEE ANDERSEN,MRS.,ASHLEE,ANDERSEN,04-01-54,S,F,ashlee19@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11060,MR.JON ZHOU,MR.,JON,ZHOU,3/17/1954,M,M,jon28@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11061,MR.TODD GAO,MR.,TODD,GAO,2/27/1954,M,M,todd14@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11062,MR.NOAH POWELL,MR.,NOAH,POWELL,09-02-75,M,M,noah5@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11063,MS.ANGELA MURPHY,MS.,ANGELA,MURPHY,04-07-75,S,F,angela41@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11064,MR.CHASE REED,MR.,CHASE,REED,12-07-75,M,M,chase21@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11065,MS.JESSICA HENDERSON,MS.,JESSICA,HENDERSON,10-09-73,M,F,jessica29@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11066,MS.GRACE BUTLER,MS.,GRACE,BUTLER,11/27/1973,M,F,grace62@adventure-works.com,"$70,000 ",0,Partial College,Professional,Y
11067,MR.CALEB CARTER,MR.,CALEB,CARTER,9/25/1976,S,M,caleb40@adventure-works.com,"$60,000 ",0,Partial College,Professional,Y
11068,MRS.TIFFANY LIANG,MRS.,TIFFANY,LIANG,9/23/1955,S,F,tiffany17@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11069,MRS.CAROLYN NAVARRO,MRS.,CAROLYN,NAVARRO,9/21/1955,S,F,carolyn30@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N
11070,MR.WILLIE RAJI,MR.,WILLIE,RAJI,04-05-55,M,M,willie40@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11071,MRS.LINDA SERRANO,MRS.,LINDA,SERRANO,6/26/1955,S,F,linda31@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11072,MRS.CASEY LUO,MRS.,CASEY,LUO,02-06-55,S,F,casey6@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N
11073,MRS.AMY YE,MRS.,AMY,YE,8/14/1956,S,F,amy16@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y
11074,MR.LEVI ARUN,MR.,LEVI,ARUN,8/28/1956,S,M,levi6@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y
11075,MRS.FELICIA JIMENEZ,MRS.,FELICIA,JIMENEZ,11/16/1957,S,F,felicia4@adventure-works.com,"$80,000 ",2,High School,Professional,Y
11076,MR.BLAKE ANDERSON,MR.,BLAKE,ANDERSON,7/13/1957,S,M,blake9@adventure-works.com,"$80,000 ",2,High School,Professional,Y
11077,MRS.LEAH YE,MRS.,LEAH,YE,9/19/1957,S,F,leah7@adventure-works.com,"$80,000 ",2,High School,Professional,N
11078,MS.GINA MARTIN,MS.,GINA,MARTIN,01-10-74,S,F,gina1@adventure-works.com,"$40,000 ",0,High School,Professional,N
11079,MR.DONALD GONZALEZ,MR.,DONALD,GONZALEZ,03-11-59,S,M,donald20@adventure-works.com,"$160,000 ",0,Graduate Degree,Management,Y
11080,MR.DAMIEN CHANDER,MR.,DAMIEN,CHANDER,7/17/1959,M,M,damien32@adventure-works.com,"$170,000 ",0,Graduate Degree,Management,Y
11081,MRS.SAVANNAH BAKER,MRS.,SAVANNAH,BAKER,7/24/1966,M,F,savannah39@adventure-works.com,"$120,000 ",2,Bachelors,Management,Y
11082,ANGELA BUTLER,,ANGELA,BUTLER,08-04-66,S,NA,angela17@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,N
11083,MS.ALYSSA COX,MS.,ALYSSA,COX,3/15/1966,M,F,alyssa37@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,Y
11084,MR.LUCAS PHILLIPS,MR.,LUCAS,PHILLIPS,09-12-57,S,M,lucas7@adventure-works.com,"$80,000 ",2,Partial High School,Skilled Manual,N
11085,MRS.EMILY JOHNSON,MRS.,EMILY,JOHNSON,7/19/1957,S,F,emily1@adventure-works.com,"$60,000 ",2,High School,Professional,N
11086,MR.RYAN BROWN,MR.,RYAN,BROWN,12/23/1957,M,M,ryan43@adventure-works.com,"$70,000 ",2,Partial College,Professional,Y
11087,MRS.TAMARA LIANG,MRS.,TAMARA,LIANG,10-03-57,M,F,tamara6@adventure-works.com,"$70,000 ",3,Partial College,Professional,N
11089,MRS.ABIGAIL PRICE,MRS.,ABIGAIL,PRICE,02-05-57,S,F,abigail25@adventure-works.com,"$80,000 ",2,Bachelors,Management,Y
11090,MR.TREVOR BRYANT,MR.,TREVOR,BRYANT,12/17/1957,S,M,trevor18@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y
11091,MR.DALTON PEREZ,MR.,DALTON,PEREZ,04-04-57,M,M,dalton37@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y
11092,MRS.CHERYL DIAZ,MRS.,CHERYL,DIAZ,05-06-67,M,F,cheryl4@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11093,MS.AIMEE HE,MS.,AIMEE,HE,09-10-67,M,F,aimee13@adventure-works.com,"$100,000 ",0,Graduate Degree,Management,Y
11094,MR.CEDRIC MA,MR.,CEDRIC,MA,04-01-62,S,M,cedric15@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,N
11095,MR.CHAD KUMAR,MR.,CHAD,KUMAR,09-01-62,S,M,chad9@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y
11096,MR.ANDRÉS ANAND,MR.,ANDRÉS,ANAND,08-10-62,M,M,andrés18@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y
11097,MR.EDWIN NARA,MR.,EDWIN,NARA,10/27/1961,M,M,edwin39@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11098,MRS.MALLORY RUBIO,MRS.,MALLORY,RUBIO,05-01-61,S,F,mallory7@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N
11099,MR.ADAM ROSS,MR.,ADAM,ROSS,03-08-61,M,M,adam2@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y
11100,MRS.LATASHA NAVARRO,MRS.,LATASHA,NAVARRO,9/15/1960,S,F,latasha10@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11101,MS.ABBY SAI,MS.,ABBY,SAI,05-08-65,S,F,abby4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11102,MRS.JULIA NELSON,MRS.,JULIA,NELSON,4/21/1965,S,F,julia7@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11103,MS.CASSIE CHANDE,MS.,CASSIE,CHANDE,10/17/1964,S,F,cassie13@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11104,MR.EDGAR SARA,MR.,EDGAR,SARA,03-11-64,M,M,edgar11@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11105,MS.CANDACE FERNANDEZ,MS.,CANDACE,FERNANDEZ,12/28/1964,S,F,candace15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11106,MR.JESSIE LIU,MR.,JESSIE,LIU,09-11-64,S,M,jessie9@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11107,MRS.BIANCA LIN,MRS.,BIANCA,LIN,09-09-59,M,F,bianca7@adventure-works.com,"$90,000 ",1,Bachelors,Professional,Y
11108,MS.KARI ALVAREZ,MS.,KARI,ALVAREZ,7/14/1963,S,F,kari25@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11109,MR.RUBEN KAPOOR,MR.,RUBEN,KAPOOR,11-05-63,S,M,ruben1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11110,MR.CURTIS YANG,MR.,CURTIS,YANG,06-06-62,M,M,curtis5@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11111,MRS.MEREDITH GUTIERREZ,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,F,meredith34@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11112,MRS.CRYSTAL WANG,MRS.,CRYSTAL,WANG,09-09-62,M,F,crystal3@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11113,MR.MICHEAL BLANCO,MR.,MICHEAL,BLANCO,2/21/1962,M,M,micheal11@adventure-works.com,"$70,000 ",5,Bachelors,Professional,Y
11114,MRS.LESLIE MORENO,MRS.,LESLIE,MORENO,5/28/1962,S,F,leslie7@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11115,MR.ALVIN CAI,MR.,ALVIN,CAI,02-12-62,M,M,alvin20@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11116,MR.CLINTON CARLSON,MR.,CLINTON,CARLSON,10-07-62,M,M,clinton14@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11117,MRS.APRIL DENG,MRS.,APRIL,DENG,2/21/1961,M,F,april1@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11118,MR.ALVIN ZENG,MR.,ALVIN,ZENG,07-03-57,S,M,alvin21@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,N
11119,MR.EVAN JAMES,MR.,EVAN,JAMES,04-10-35,S,M,evan8@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11121,MR.ORLANDO SUAREZ,MR.,ORLANDO,SUAREZ,11/18/1960,M,M,orlando19@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11122,MR.BYRON VAZQUEZ,MR.,BYRON,VAZQUEZ,04-02-60,M,M,byron9@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11123,MR.PHILIP ALVAREZ,MR.,PHILIP,ALVAREZ,6/20/1960,M,M,philip4@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11124,MR.ROSS JORDAN,MR.,ROSS,JORDAN,7/27/1957,S,M,ross1@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,Y
